ID,FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE
9252,2001-06-23,20:33:14,-16.2021,-73.7555,32,8.4,20223006
478,1966-10-17,21:41:58,-10.832,-78.648,37,8,20223006
12169,2007-08-15,23:40:53,-13.5485,-76.8598,40,8,20223006
20734,2019-05-26,07:41:16,-5.7373,-75.5542,135,8,20223006
116,1963-08-15,17:25:06,-13.8,-69.3,543,7.8,20223006
1037,1970-05-31,20:23:32,-9.272,-78.838,43,7.8,20223006
1626,1974-10-03,14:21:34,-12.279,-77.536,21,7.7,20223006
6917,1996-11-12,16:59:40,-15.2137,-75.9367,20,7.7,20223006
143,1963-11-09,21:15:32,-9.127,-71.483,591,7.6,20223006
9542,2001-07-07,09:38:39,-18.0315,-72.4459,11,7.6,20223006
