N° datos,Rango de años,,ID,FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE
1,1960,1963,153,1963-12-06,18:14:32,-7.1,-80.5,33,4.9,20223006
2,1964,1966,260,1965-01-09,14:35:14,-9.8,-80,26,4.9,20223006
3,1967,1969,717,1968-05-22,09:35:30,-5.5,-81.6,27,4.8,20223006
4,1970,1972,1053,1970-06-01,06:11:55,-9.101,-77.61,25,5.2,20223006
5,1973,1975,1765,1975-07-12,06:47:38,-17.318,-69.318,151,5.8,20223006
6,1976,1978,1930,1977-09-10,04:39:07,-14.218,-75.973,49,5.3,20223006
7,1979,1981,2081,1979-06-04,12:10:48,-9.582,-79.779,45,5.3,20223006
8,1982,1984,2445,1983-04-13,15:00:34,-4.47,-81.98,33,5.3,20223006
9,1985,1987,2961,1986-05-05,02:01:54,-12.26,-76.46,44,5.1,20223006
10,1988,1990,3846,1989-07-08,06:26:02,-8.99,-76.59,63,4.7,20223006
11,1991,1993,5006,1992-05-26,09:33:45,-7.4,-79.41,39,4.5,20223006
12,1994,1996,5797,1994-07-31,03:34:26,-12.09,-75.07,84,4.6,20223006
13,1997,1999,7662,1998-01-10,11:28:54,-11.844,-72.176,33,4.2,20223006
14,2000,2002,9353,2001-06-24,08:11:39,-17.037,-73.549,34,5.2,20223006
15,2003,2005,10667,2004-01-24,17:12:53,-8.8239,-80.9088,18,4.9,20223006
16,2006,2008,12692,2008-07-01,00:17:32,-10.4024,-75.5861,8,5.7,20223006
17,2009,2011,13998,2011-06-13,23:47:27,-10.1972,-78.9917,54,4.9,20223006
18,2012,2014,16047,2013-09-16,03:53:26,-7.86,-74.5855,152,4.7,20223006
19,2015,2017,19032,2016-11-10,17:43:16,-14.8849,-73.6843,108,5.3,20223006
20,2018,2020,21036,2019-12-05,03:23:18,-13.8251,-76.2927,71,5.3,20223006
21,2021,2022,22702,2021-12-29,08:12:06,-7.9554,-75.5877,35,4.3,20223006
